,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,,,,,1,2,3,4,5,6
,Poa bulbosa L.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,,,,,,,,,,
,Festuca ampla Hack.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,,,,,,,,,,
,Legousia hybrida (L.) Delarbre,.,.,.,.,.,.,.,.,.,.,.,+,.,.,,,,,,,,,,
,Viola tricolor L.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,,,,,,,,,,
,Conopodium majus (Gouan) Loret in Loret & Barrandon,.,.,.,.,.,.,.,.,.,.,.,1,.,.,,,,,,,,,,
,Asphodelus aestivus Brot.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,,,,,,,,,,
,Arrhenatherum album (Vahl) W. D. Clayton,.,.,.,.,.,.,.,.,.,.,.,.,+,.,,,,,,,,,,
,Oenanthe crocata L. [sub],.,.,.,.,.,.,.,.,.,.,.,.,+,.,,,,,,,,,,
,Asphodelus ramosus L.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,,,,,,,,,,
,Viola sylvestris Lam. subsp. riviniana (Rchb.) Tourlet [sub],.,.,.,.,.,.,.,.,.,.,.,.,1,.,,,,,,,,,,
,Ulex minor Roth,.,.,.,.,.,.,.,.,.,.,.,.,.,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
