,,1,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,,,,50,51,52,53,54,55,56,57,58,59,60,,,,1,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
,,,,,Myrtus communis L.,.,.,.,1,.,.,.,1,.,.,.,.,.,+,.,.,.,,,Elaeoselinum foetidum (L.) Boiss.,+,1,.,.,.,.,.,.,.,.,.,,,,,,A,Ceratonia siliqua L.,.,.,+,.,.,.,.,.,.,(+),.,+,.,2,2,.,2,.,.,.,.,.,.,.,.,.,.
,,,,,Osyris alba L.,.,.,.,.,+,.,.,.,.,.,.,.,+,.,.,.,+,,,Carex distachya Desf.,+,1,.,.,1,.,.,.,+,+,.,,,,,,a,Ceratonia siliqua L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.
,,,,,Prasium majus L.,+,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,,,Luzula forsteri (Sm.) DC. subsp. cantabrica P. Monts. [sub],.,.,.,.,.,.,.,.,.,.,.,,,,,,h,Asplenium ceterach L. [sub],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.
,,,,,Jasminum fruticans L.,1,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,,,Asplenium onopteris L.,.,.,.,.,.,.,.,.,.,.,.,,,,,,a,Chamaerops humilis L.,.,.,+,+,.,.,r,3,.,+,+,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,Asparagus aphyllus L.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,,,Phillyrea latifolia L.,.,.,.,.,.,.,.,.,1,.,.,,,,,,a,Cistus albidus L.,.,+,+,.,(+),1,2,+,.,1,+,.,+,1,.,2,+,2,+,.,1,1,+,2,+,.,+
,,,,,Arum italicum Mill.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,Bellis sylvestris Cirillo,.,.,.,.,.,.,.,.,.,.,.,,,,,,a,Cistus clusii Dunal in DC.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,Bunium bulbocastanum L.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,Allium massaessylum Batt. & Trab.,.,.,.,.,.,.,.,.,.,.,.,,,,,,a,Cistus ladanifer L.,.,.,.,.,.,.,(+),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,(+),.,.,.
,,,,,Bupleurum fruticosum L.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,,,Rosa sempervirens L.,.,.,.,.,.,.,.,.,.,.,.,,,,,,a,Cistus monspeliensis L.,.,.,.,.,2,.,2,.,.,.,.,.,+,.,.,r,.,.,1,.,.,.,.,(+),.,+,.
,,,,,Carlina corymbosa L.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,,,Conopodium marianum Lange [sub],.,.,.,.,.,.,.,.,.,.,.,,,,,,a,Cistus populifolius L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.
,,,,,Cheirolophus sempervirens (L.) Pomel,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,+,.,,,Galium scabrum L.,.,.,.,.,.,.,.,.,.,.,.,,,,,,a,Cistus salviifolius L.,.,.,.,.,.,.,.,(+),.,1,.,+,.,.,.,.,.,.,.,.,.,.,+,2,+,+,+
