,,1,2,3,4,5,6,7,8,9,10,11,12,13,,,,1,2,3,4,5,6,7,8,,,,1,2,3,4,5,,,,1,2,3,4,5,,,,1,2,3,4,5,6,,,,1,2,3,4,5,6,7,8,9,10,11,12,,,,1,2,3,4,5,6,7,8
,Helictochloa marginata (Lowe) Romero Zarco [sub],1,+,.,.,.,.,.,.,.,r,1,.,1,,,Astrantia major L. [sub],+,.,1,1,1,+,+,+,,,Rumex acetosella L. subsp. angiocarpus (Murb.) Murb.,.,.,+,+,.,,,Linaria triornithophora (L.) Willd.,.,2,+,1,+,,,Pteridium aquilinum (L.) Kuhn in Kerst.,.,2,1,.,2,.,,,Brachypodium sylvaticum (Huds.) P. Beauv. [sub],.,2,.,.,.,.,.,.,.,.,.,+,,,Lonicera periclymenum L.,2,.,+,2,.,+,2,+
,Lapsana communis L.,r,+,+,.,r,+,.,.,.,.,.,.,.,,,Galium aparine L.,.,+,+,.,+,+,+,+,,,Anthoxanthum odoratum L.,.,.,.,1,.,,,Trifolium ochroleucon Huds.,+,.,2,.,1,,,Hieracium murorum L.,.,1,+,.,.,1,,,Rumex acetosa L.,.,+,.,.,.,.,.,.,.,+,.,.,,,Teucrium scorodonia L.,2,+,1,.,.,(+),1,.
,Silene nutans L.,1,+,.,.,.,.,.,.,.,+,1,.,.,,,Veronica officinalis L.,.,.,.,+,1,1,1,1,,,Genista falcata Brot.,1,.,.,.,.,,,Omphalodes nitida (Willd.) Hoffmanns & Link,.,1,+,1,.,,,Brachypodium pinnatum (L.) P. Beauv. subsp. rupestre (Host) Schübl. & G.Martens,.,3,.,2,2,.,,,Rosa micrantha subsp. nemorosa,2,.,.,.,.,.,.,.,+,.,.,.,,,Melampyrum pratense L.,(+),.,1,1,.,.,1,(+)
,Hypericum perforatum L.,.,.,1,+,.,.,.,.,r,.,.,+,.,,,Veronica chamaedrys L.,+,+,+,.,.,+,.,+,,,Pinus pinaster Aiton,.,1,.,.,.,,,Astragalus glycyphyllos L.,+,.,.,.,.,,,Rubus sp.,.,.,.,1,+,+,,,Laserpitium nestleri Soy.-Will.,.,.,.,.,.,+,.,.,+,.,.,.,,,Castanea sativa Mill.,+,+,2,.,.,.,+,+
,Lotus corniculatus L.,r,+,.,.,+,+,.,.,.,.,.,.,.,,,Clinopodium vulgare L.,+,.,+,.,+,+,+,.,,,Asphodelus lusitanicus Cout. [sub],.,.,.,.,+,,,Clinopodium vulgare L. subsp. vulgare,1,.,.,.,.,,,Campanula rapunculus L.,.,.,.,+,+,+,,,Erica arborea L.,.,.,2,2,.,2,2,2,.,.,.,.,,m,Polytrichum attenuatum,(+),.,+,1,.,.,.,(+)
,Dactylis glomerata L.,.,.,.,+,.,+,.,.,.,r,1,.,.,,,Festuca elegans Boiss.,+,1,+,+,.,.,.,.,,,Campanula lusitanica L. in Loefl. subsp. lusitanica,.,.,.,+,.,,,Trifolium medium L.,+,.,.,.,.,,,Asphodelus albus Mill.,.,.,.,+,r,r,,,Helictochloa marginata (Lowe) Romero Zarco [sub],+,.,2,.,+,.,.,.,.,.,.,.,,,Carex pilulifera L.,.,.,.,1,.,.,2,2
,Hypericum linariifolium Vahl [sub],1,+,.,.,.,.,2,.,.,1,.,.,.,,,Potentilla erecta (L.) Raeusch.,.,.,.,.,+,+,1,1,,,Cladanthus mixtus (L.) Oberpr. & Vogt [sub],.,.,.,+,.,,,Vicia tenuifolia Roth,.,.,2,.,.,,,Sedum forsterianum Sm. in Sowerby [sub],+,.,.,+,.,.,,,Pterospartum tridentatum (L.) Willk. in Willk. & Lange subsp. tridentatum [sub],.,.,.,.,2,.,.,.,.,.,2,2,,,Ceratocapnos claviculata (L.) Lidén [sub],(+),.,.,.,2,2,.,.
,Asplenium onopteris L.,.,.,.,+,.,r,+,.,2,.,.,.,.,,,Dactylorhiza maculata (L.) Soó,.,.,.,+,.,+,+,.,,,Lactuca viminea (L.) J. Presl & C. Presl subsp. viminea,.,+,.,.,.,,,Silene nutans L.,.,.,+,.,.,,,Lotus corniculatus L.,r,.,.,.,r,.,,,Erica australis L. [sub],.,.,.,.,.,2,.,2,.,.,.,2,,,Hieracium sabaudum L.,.,+,+,.,.,.,.,.
,Aristolochia paucinervis Pomel [sub],.,.,+,1,+,1,.,.,.,.,.,.,.,,,Teucrium scorodonia L.,.,.,.,+,.,+,.,.,,,Rumex papilaris,.,+,.,.,.,,,Pteridium aquilinum (L.) Kuhn in Kerst.,2,1,2,2,+,,,Vicia sepium L.,.,2,2,.,.,.,,,Luzula lactea (Link) E.Mey.,.,.,.,.,.,+,.,+,.,.,.,+,,,Lathyrus linifolius (Reichard) Bässler [sub],.,.,+,.,.,.,.,.
,Holcus lanatus L.,.,.,+,+,1,+,.,.,.,.,.,.,.,,,Hypericum pulchrum L.,.,.,.,.,+,+,.,.,,,Echium lusitanicum L.,.,.,+,.,.,,,Hedera helix L.,+,2,1,1,.,,,Lapsana communis L.,.,+,2,.,.,.,,,Lithodora diffusa (Lag.) I. M. Johnston subsp. diffusa,.,.,.,.,.,.,.,.,.,.,.,2,,,Hypericum pulchrum L.,.,.,.,.,.,.,.,(+)
,Hypochaeris glabra L.,+,+,.,r,.,.,.,.,.,+,.,.,.,,,Ilex aquifolium L.,.,.,.,+,.,.,.,1,,,Erica australis L.,+,.,.,.,.,,,Genista micrantha Gómez Ortega,+,.,2,1,2,,,Myosotis arvensis (L.) Hill,.,+,+,.,.,.,,,Calluna vulgaris (L.) Hull,+,.,.,.,2,.,.,.,.,.,.,.,,A,Betula pubescens Ehrh.,.,.,.,.,.,.,2,1
,Prunus spinosa L.,.,.,.,r,+,+,.,.,1,.,.,.,.,,,Vicia orobus DC. in Lam. & DC.,.,.,.,.,+,.,+,.,,,Frangula alnus Mill.,.,.,+,.,.,,,Stachys officinalis (L.) Trevis.,1,1,+,.,+,,,Silene nutans L.,.,r,.,.,+,.,,,Polygala microphylla L.,+,.,+,.,.,.,.,.,.,.,.,.,,a,Betula pubescens Ehrh.,.,.,.,.,.,.,.,2
,Jasione montana L.,2,+,.,.,.,+,.,.,.,.,.,.,.,,,Pulmonaria longifolia (Bast.) Boreau,.,.,.,+,.,.,.,.,,,Geranium purpureum Vill.,.,.,.,+,.,,,Rubus ulmifolius Schott,+,.,+,+,.,,,Vicia sativa L.,.,.,+,.,+,.,,,Cruciata glabra (L.) Ehrend.,1,.,.,.,.,2,+,+,+,+,.,.,,,Rubus sp.,+,+,2,+,+,+,+,+
,Rubia peregrina L.,.,.,+,+,2,.,.,.,.,.,.,.,.,,,Holcus mollis L.,.,.,+,.,.,.,.,.,,,Halimium lasianthum (Lam.) Spach subsp. alyssoides (Lam.) Greuter,.,.,+,.,.,,,Anthoxanthum odoratum L.,1,.,.,.,+,,,Origanum virens Hoffmanns. & Link,.,.,.,.,+,.,,,Poa pratensis L.,.,+,.,.,.,.,.,+,.,1,1,+,,,¿ Hyacinthoides hispanica (Mill.) Rothm. [sub],+,+,.,1,.,1,.,1
,Danthonia decumbens (L.) DC. in Lam. & DC.,.,.,+,1,.,.,+,.,.,.,.,.,.,,,Narcissus triandrus L.,.,.,+,.,.,.,.,.,,,Omphalodes nitida (Willd.) Hoffmanns & Link,.,.,.,.,+,,,Helictochloa marginata (Lowe) Romero Zarco [sub],+,.,.,1,.,,,Periballia involucrata (Cav.) Janka,.,.,r,.,.,.,,,Dactylis glomerata L.,.,+,.,.,.,1,2,+,.,.,.,.,,,Digitalis purpurea L.,+,+,+,.,1,+,.,.
,Geum sylvaticum Pourr.,.,.,.,.,r,r,.,r,.,.,.,.,.,,,Lilium martagon L.,.,.,.,+,.,.,.,.,,,Plantago lanceolata L.,.,.,.,+,.,,,Trifolium pratense L.,+,.,+,.,.,,,Picris hieracioides L.,+,.,.,.,.,.,,,Galium mollugo L.,.,.,+,.,.,.,.,.,.,1,1,+,,,Dactylis glomerata L. subsp. glomerata,+,+,+,.,+,.,+,.
,Geranium sanguineum L.,.,.,.,.,1,.,.,2,.,.,.,2,.,,,Helleborus foetidus L.,+,.,.,.,.,.,.,.,,,Polygala vulgaris L.,.,.,.,.,+,,,Asphodelus aestivus Brot.,2,.,.,+,.,,,,,,,,,,,,Poa trivialis L.,+,.,.,+,.,+,.,.,.,+,.,.,,,Brachypodium pinnatum (L.) P. Beauv.,.,.,+,2,.,+,2,.
,Polygala vulgaris L.,.,.,.,+,.,1,.,r,.,.,.,.,.,,,Genista florida L. [sub],.,.,.,.,+,+,.,.,,,Polystichum setiferum (Forssk.) Woyn.,.,+,.,.,.,,,Asphodelus ramosus L.,1,.,.,+,.,,,,,,,,,,,,Phalacrocarpum oppositifolium (Brot.) Willk.,+,.,.,.,+,.,+,.,.,.,+,.,,,Erica arborea L.,.,.,2,2,.,.,2,2
,Potentilla sterilis (L.) Garcke,.,.,.,.,2,1,.,1,.,.,.,.,.,,,Ornithogalum umbellatum L.,+,+,.,.,.,.,.,.,,,Pterospartum tridentatum (L.) Willk. in Willk. & Lange subsp. cantabricum (Spach) Talavera & Gibbs,4,1,,.,.,,,Crataegus monogyna Jacq. [sub],.,+,+,.,.,,,,,,,,,,,,Trisetum flavescens (L.) P. Beauv.,.,.,.,.,.,.,.,.,+,2,.,2,,,Ranunculus ficaria L. [sub],2,.,.,(+),+,2,.,.
