,,1,2,3,4,5,6,7,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,,,1,2,,,,1,2,3,4,5,6,7,8,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Airopsis tenella (Cav.) Asch. & Graebn.,.,.,.,.,.,.,.,.,+
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ajuga reptans L.,.,.,.,+,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alnus glutinosa (L.) Gaertn.,.,.,.,.,.,.,+,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anarrhinum bellidifolium (L.) Willd.,.,.,.,.,.,.,.,.,+
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lepidophorum repandum (L.) DC. [sub],.,.,.,.,+,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aristolochia paucinervis Pomel [sub],+,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,¿ Asphodelus albus Mill. [sub],.,.,.,.,.,+,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asphodelus lusitanicus Cout.,.,.,.,1,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asplenium trichomanes L.,.,.,.,.,.,.,.,+,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,¿ Helictochloa albinervis (Boiss.) Romero Zarco [sub],.,.,.,1,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blechnum spicant (L.) Roth,.,.,.,.,.,.,+,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cardamine hirsuta L.,.,.,+,.,.,.,.,.,.
