,,1,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,,,,1,2,3,4,5,6,7,,,,1,2,3,4,5,6,7,8,9,10,11,,,,1,2,3,4,5,6,7
,,,,,Lathyrus clymenum L. [sub],+,.,.,.,.,.,.,.,.,.,.,.,.,.,,,Pyrus bourgaeana Decne. [sub],.,+,.,.,1,.,1,,,Conopodium marianum Lange [sub],.,.,.,.,.,+,.,.,.,.,.,,,Lonicera etrusca G. Santi,.,1,.,+,.,.,.
,,,,,Silene aellenii Sennen [sub],1,.,.,1,.,.,.,.,.,.,.,.,.,.,,,Lonicera etrusca G. Santi,.,1,.,+,.,.,.,,,Cytisus scoparius (L.) Link,.,.,.,.,.,1,.,.,.,.,.,,,Rubia peregrina L.,+,+,+,.,+,+,+
,,,,,Campanula rapunculus L.,.,+,.,.,.,.,+,.,.,.,.,.,.,.,,,Rubia peregrina L.,2,+,2,.,+,+,+,,,Holcus lanatus L.,.,.,.,.,.,+,.,.,.,.,.,,,Olea europaea L. subsp. sylvestris (Mill.) Hegi [sub],+,.,.,.,.,.,.
,,,,,Helichrysum stoechas (L.) Moench,.,+,.,+,.,.,.,.,.,.,.,.,.,.,,,Olea europaea L. subsp. sylvestris (Mill.) Hegi [sub],+,.,.,.,.,.,.,,,Malva tournefortiana L.,.,.,.,.,.,+,.,.,.,.,.,,,Teucrium fruticans L.,+,.,.,.,.,.,+
,,,,,Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl subsp. bulbosum (Willd.) Schübl. & Martens [sub],.,.,.,1,.,.,.,.,.,.,.,.,.,.,,,Teucrium fruticans L.,+,.,.,.,.,.,+,,,Olea europaea L.,.,.,.,.,.,+,.,.,.,.,.,,,Arisarum vulgare Targ.-Tozz.,+,.,.,.,.,.,.
,,,,,Conopodium marianum Lange,.,1,.,.,.,.,1,.,.,.,.,.,.,.,,,Arisarum vulgare Targ.-Tozz.,+,.,.,.,.,.,.,,,Vitis vinifera L. subsp. sylvestris (C.C. Gmel.) Hegi [sub],.,.,.,.,.,+,.,.,.,.,.,,,Bellis sylvestris Cirillo,.,+,+,.,1,.,+
,,,,,Carlina racemosa L.,.,1,.,.,.,.,1,.,.,.,.,.,.,.,,,Bellis sylvestris subsp. pappulosa,.,+,+,.,2,.,2,,,Agrostis castellana Boiss. & Reut.,.,.,.,.,.,.,+,.,.,.,.,,,Geranium purpureum Vill. [sub],+,+,.,+,+,+,.
,,,,,Vicia disperma DC.,.,.,.,1,.,.,.,.,1,.,.,.,.,.,,,Geranium purpureum Vill. [sub],2,+,.,+,+,+,.,,,Brachypodium sylvaticum (Huds.) P. Beauv.,.,.,.,.,.,.,+,.,.,.,.,,,Moehringia pentandra J. Gay,+,+,.,+,+,+,.
,,,,,Cynosurus echinatus L.,.,.,.,1,.,.,.,.,1,.,1,.,.,.,,,Moehringia pentandra J. Gay,+,+,.,+,2,+,.,,,Bupleurum rigidum L.,.,.,.,.,.,.,+,.,.,.,.,,,Vincetoxicum nigrum (L.) Moench,.,.,.,+,+,.,+
,,,,,Ferula communis L.,.,.,.,1,.,.,.,.,1,.,.,.,.,.,,,Vincetoxicum nigrum (L.) Moench,.,.,.,+,+,.,+,,,Crataegus monogyna Jacq.,.,.,.,.,.,.,1,.,.,.,.,,,Lathyrus latifolius L.,.,.,.,.,.,.,1
,,,,,Bryonia dioica Jacq.,.,1,.,.,.,1,.,.,.,.,.,.,.,.,,,Lathyrus latifolius L.,.,.,.,.,.,.,1,,,Origanum virens Hoffmanns. & Link,.,.,.,.,.,.,1,.,.,.,.,,,Lonicera implexa Aiton,.,.,.,.,+,.,+
,,,,,Limodorum trabutianum Batt.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,,,Lonicera implexa Aiton,.,.,.,.,+,.,+,,,Mentha suaveolens Ehrh.,.,.,.,.,.,.,.,+,.,.,.,,,Rosa sempervirens L.,.,1,.,.,.,.,.
,,,,,Doronicum plantagineum L.,.,.,.,.,1,.,.,.,1,.,.,.,.,.,,,Rosa sempervirens L.,.,2,.,.,.,.,.,,,Scrophularia scorodonia L.,.,.,.,.,.,.,.,+,.,.,.,,,Daphne gnidium L.,1,.,1,.,.,.,.
,,,,,Sanguisorba verrucosa (Link ex G. Don) Ces.,.,.,.,.,1,.,.,.,.,.,1,.,.,.,,,Daphne gnidium L.,2,.,1,.,.,.,.,,,Senecio lividus L.,.,.,.,.,.,.,.,+,.,.,.,,,Crataegus monogyna Jacq.,1,.,+,1,+,1,1
,,,,,Aristolochia pistolochia L.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,,,Crataegus monogyna Jacq.,1,.,+,1,+,1,2,,,Tamus communis L.,.,.,.,.,.,.,.,+,.,.,.,,,Aristolochia paucinervis Pomel [sub],+,+,.,+,.,.,.
,,,,,Genista hirsuta Vahl,.,.,.,.,.,.,.,.,.,.,+,.,+,.,,,Aristolochia paucinervis Pomel [sub],2,+,.,+,.,.,.,,,Ulex minor Roth,.,.,.,.,.,.,.,2,.,.,.,,,Ranunculus ficaria L. [sub],.,+,+,+,+,+,.
,,,,,Erica australis L.,.,.,.,.,.,.,.,.,.,.,.,1,.,+,,,Ranunculus ficaria L. subsp. ficaria,.,+,+,2,2,+,.,,,Ferula communis L.,.,.,.,.,.,.,.,.,1,.,.,,,Tamus communis L.,1,+,.,.,+,1,+
,,,,,Lonicera periclymenum L. subsp. hispanica (Boiss. & Reut.) Nyman [sub],.,.,.,.,.,.,.,.,.,.,.,.,.,+,,,Tamus communis L.,1,+,.,.,+,1,+,,,Phagnalon saxatile (L.) Cass.,.,.,.,.,.,.,.,.,1,.,.,,,Bryonia dioica Jacq.,.,+,.,.,.,.,.
,,,,,Cistus salviifolius L.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,,,Bryonia dioica Jacq.,.,+,.,.,.,.,.,,,Thapsia villosa L.,.,.,.,.,.,.,.,.,+,.,.,,,Silene latifolia Poir. [sub],+,+,.,+,.,+,1
,,,,,,,,,,,,,,,,,,,,,,Silene latifolia Poir. [sub],+,+,.,+,.,+,2,,,Agrostis curtisii Kerguélen,.,.,.,.,.,.,.,.,.,1,.,,,Arum italicum Mill.,.,+,.,+,1,.,.
,,,,,Belmonte M.D. 2008 La vegetación del parque nacional de Monfragüe y su área socioeconómica de influencia. T.002,,,,,,,,,,,,,,,,,Arum italicum Mill.,.,+,.,2,2,.,.,,,Simethis mattiazzii (Vand.) G. López & Ch.E. Jarvis [sub],.,.,.,.,.,.,.,.,.,1,.,,,Bromus sterilis L.,+,.,+,.,+,.,+
,,,,,,,,,,,,,,,,,,,,,,Bromus sterilis L.,+,.,+,.,+,.,+,,,Digitalis thapsi L.,.,.,.,.,.,.,.,.,.,.,+,,,Lapsana communis L.,+,.,.,+,+,+,.
,,,,,,,,,,,,,,,,,,,,,,Lapsana communis L. [sub],+,.,.,+,2,+,.,,,Genista triacanthos Brot.,.,.,.,.,.,.,.,.,.,.,+,,,Brachypodium sylvaticum (Huds.) P. Beauv.,.,+,+,.,.,.,+
,,,,,,,,,,,,,,,,,,,,,,Brachypodium sylvaticum (Huds.) P. Beauv. [sub],.,+,2,.,.,.,2,,,Halimium ocymoides (Lam.) Willk. in Willk. & Lange,.,.,.,.,.,.,.,.,.,.,2,,,Rubus ulmifolius Schott,1,.,.,.,.,.,+
,,,,,,,,,,,,,,,,,,,,,,Rubus ulmifolius Schott,1,.,.,.,.,.,+,,,,,,,,,,,,,,,,,Stellaria media (L.) Vill.,.,.,+,+,+,.,.
,,,,,,,,,,,,,,,,,,,,,,Stellaria media (L.) Vill.,.,.,2,2,+,.,.,,,"Vicente Orellana, J. A. & Galán De Mera, Antonio. 2008 Nuevas aportaciones al conocimiento de la vegetación Luso-Extremadurense. Estudio de las Sierras de Las Villuercas (Extremadura, España) y San Mamede (Alto Alentejo, Portugal). Acta Bot. Malacitana, 33:1-49. T.018",,,,,,,,,,,,,,Smyrnium olusatrum L.,.,.,.,1,+,.,.
,,,,,,,,,,,,,,,,,,,,,,Smyrnium olusatrum L.,.,.,.,2,+,.,.,,,,,,,,,,,,,,,,,Cynoglossum creticum Mill.,.,.,.,+,.,+,.
,,,,,,,,,,,,,,,,,,,,,,Cynoglossum creticum Mill.,.,.,.,+,.,+,.,,,,,,,,,,,,,,,,,Piptatherum miliaceum (L.) Coss. [sub],.,.,.,.,.,1,.
,,,,,,,,,,,,,,,,,,,,,,Piptatherum miliaceum (L.) Coss. [sub],.,.,.,.,.,2,.,,,,,,,,,,,,,,,,,Anemone palmata L.,+,.,.,.,.,.,+
,,,,,,,,,,,,,,,,,,,,,,Anemone palmata L.,+,.,.,.,.,.,+,,,,,,,,,,,,,,,,,Cynosurus effusus Schrad. [sub],.,+,.,.,.,.,+
,,,,,,,,,,,,,,,,,,,,,,Cynosurus effusus Schrad. [sub],.,+,.,.,.,.,+,,,,,,,,,,,,,,,,,Rhagadiolus stellatus (L.) Gaertn.,+,+,.,.,+,+,.
,,,,,,,,,,,,,,,,,,,,,,Rhagadiolus stellatus (L.) Gaertn.,+,+,.,.,+,+,.,,,,,,,,,,,,,,,,,Cistus salviifolius L.,1,+,+,.,.,.,+
,,,,,,,,,,,,,,,,,,,,,,Cistus salviifolius L.,2,+,+,.,.,.,+,,,,,,,,,,,,,,,,,Cynosurus echinatus L.,+,+,.,+,+,+,.
,,,,,,,,,,,,,,,,,,,,,,Cynosurus echinatus L.,+,+,.,+,+,+,.,,,,,,,,,,,,,,,,,Aira caryophyllea L.,+,+,+,.,.,+,+
,,,,,,,,,,,,,,,,,,,,,,Aira caryophyllea L.,+,+,+,.,.,+,+,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rivas Goday, S.; Borja Carbonell, J.; Esteve Chueca, F.; Fernández-Galiano, E.; Rigual Magallon, A. & Rivas Martínez, S. 1959 Contribución al estudio de la Quercetea ilicis hispánica. Anales Inst. Bot. Cavanilles 17 (2): T.012",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"Rivas Goday, S. 1964 Vegetación y flórula de la cuenca extremeña del Guadiana. Publ. Diputac. Provinc. Badajoz. 777 pp. T.075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
