,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,,,,1,2,3,4,5,6,7,8,,,,1,2,3,,,,1,,,,1,2,3,4,,,,1,2,3,4,5,6,7,8,9,10
,Lonicera periclymenum L. subsp. hispanica (Boiss. & Reut.) Nyman [sub],.,.,.,+,+,.,+,+,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,Galium divaricatum Pourr. ex Lam.,.,+,.,,,,,,,Dactylis glomerata L.,.,.,+,.,,,Castanea sativa Mill.,r,+,.,.,.,.,.,.,.,+
,Asplenium adiantum-nigrum L.,.,.,.,+,+,.,.,.,.,.,.,.,.,.,.,.,+,.,+,.,.,,,,,,,,,,,,,,Vicia sativa L.,.,+,.,,,,,,,Epilobium lanceolatum Sebast. & Mauri,.,+,.,.,,,Epipactis helleborine (L.) Crantz,.,1,.,1,.,.,+,.,.,.
,Epilobium lanceolatum Sebast. & Mauri,.,.,.,.,+,.,+,.,+,.,.,.,.,+,.,.,.,.,.,.,.,,,,,,,,,,,,,,Crataegus monogyna Jacq.,.,.,1,,,,,,,Epilobium montanum L.,.,.,+,.,,,Myosotis arvensis (L.) Hill,+,.,.,.,+,+,.,.,.,.
,Myosotis ramosissima Rochel in Schult.,.,.,.,.,+,.,+,.,.,.,.,+,1,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,Halimium lasianthum (Lam.) Spach subsp. alyssoides (Lam.) Greuter [sub],.,.,+,,,,,,,Galium aparine L.,+,.,.,.,,,Origanum virens Hoffmanns. & Link,.,.,.,1,.,.,.,+,+,.
,Rubia peregrina L.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,+,+,.,+,.,.,,,,,,,,,,,,,,Thesium pyrenaicum Pourr.,.,.,+,,,,,,,Geranium sanguineum L.,2,.,.,.,,,Periballia involucrata (Cav.) Janka,.,.,.,+,.,r,.,.,+,.
,Polystichum setiferum (Forssk.) Woyn.,.,.,.,.,+,.,.,+,.,.,.,.,.,.,+,.,.,.,+,.,.,,,,,,,,,,,,,,Centaurea graminifolia Pourr. [sub],.,.,+,,,,,,,Hieracium gr. mixtum Froel. [sub],.,.,+,.,,,Picris hieracioides L.,.,.,+,+,.,.,.,.,r,.
,Rubus ulmifolius Schott,.,.,.,.,.,+,+,1,.,.,.,.,.,.,+,.,.,.,.,.,.,,,,,,,,,,,,,,Festuca paniculata (L.) Schinz & Thell.,.,.,+,,,,,,,Hieracium gr. schmidtii Tausch [sub],.,r,.,.,,,Prunella grandiflora (L.) Scholler subsp. pyrenaica (Gren. & Godron) A. Bolòs,.,.,+,.,3,.,.,3,.,.
,Lamium maculatum L.,.,.,.,.,.,.,.,.,+,+,.,.,.,+,+,.,.,.,.,.,.,,,,,,,,,,,,,,Carex divulsa Stokes in With.,.,.,+,,,,,,,Hieracium umbellatum L.,.,.,.,+,,,Sedum forsterianum Sm. in Sowerby [sub],.,.,+,.,.,.,+,.,+,.
,Aquilegia vulgaris L.,.,.,+,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,Hypochaeris radicata L. [sub],.,.,+,.,,,Vicia sativa L.,.,.,.,+,.,+,.,r,.,.
,Hypericum montanum L.,.,.,.,.,.,.,+,+,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,Inula salicina L.,.,.,.,+,,,Vicia sepium L.,.,1,.,.,2,2,.,.,.,.
