,,1,2,3,4,5,6,7,8,9,10,11,,,1,2,3,4,5,6,7,8,9
,Crucianella angustifolia L.,.,.,.,.,.,.,.,+,.,.,.,,,,,,,,,,,
,Coleostephus myconis (L.) Rchb. fil.,.,.,.,.,.,.,.,+,.,.,.,,,,,,,,,,,
,"Coincya monensis (L.) Greuter & Burdet subsp. cheiranthos (Vill.) Aedo, Leadlay & Muñoz Garm.",.,.,.,.,.,.,.,+,.,.,.,,,,,,,,,,,
,Centranthus calcitrapae (L.) Dufr.,.,.,.,.,.,.,.,+,.,.,.,,,,,,,,,,,
,Anarrhinum bellidifolium (L.) Willd.,.,.,.,.,.,.,.,+,.,.,.,,,,,,,,,,,
,Agrostemma githago L.,.,.,.,.,.,.,.,+,.,.,.,,,,,,,,,,,
,Brachypodium phoenicoides (L.) Roem. & Schult.,.,.,.,.,.,.,.,1,.,.,.,,,,,,,,,,,
,Lamium maculatum L.,.,.,.,.,.,.,.,2,.,.,.,,,,,,,,,,,
,Celtis australis L.,.,.,.,.,.,.,.,.,+,.,.,,,,,,,,,,,
,Cynodon dactylon (L.) Pers.,.,.,.,.,.,.,.,.,+,.,.,,,,,,,,,,,
,Filipendula vulgaris Moench,.,.,.,.,.,.,.,.,.,+,.,,,,,,,,,,,
,Cistus ladanifer L. [sub],.,.,.,.,.,.,.,.,.,.,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
