,,1,2,3,4,5,6,,,,1,2,3,,,,1,2,3,4,5,,,,1,2,3,4,5,6,7,8,9,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,,,,88,89,90,91,92,93
,,,,,,,,,,,,,,,,Lithodora prostrata (Loisel.) Griseb. subsp. lusitanica (Samp.) Valdés. [sub],.,.,.,2,.,,,Rubus ulmifolius Schott,.,.,.,.,.,.,1,.,.,,,Thymus villosus L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,1,.,.,1,+,.,+,.,.,,,Euphorbia characias L.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,Tuberaria lignosa (Sweet) Samp. [sub],.,.,.,2,.,,,,,,,,,,,,,,,Celtica gigantea (Link) J.M. Vázquez & Barkworth [sub],.,+,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,+,.,.,.,.,1,.,.,+,.,+,,,Quercus rotundifolia Lam.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,Ulex australis Clemente subsp. welwitschianus (Planch.) Espírito Santo & al. [sub],.,.,.,2,.,,,,,,,,,,,,,,,Agrostis curtisii Kerguélen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,+,.,+,.,.,.,1,.,.,.,+,.,,,Viburnum tinus L.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,Cistus psilosepalus Sweet,.,.,.,1,.,,,,,,,,,,,,,,,Holcus lanatus L.,.,.,.,.,.,.,.,+,.,.,.,+,.,+,+,.,.,.,.,.,.,.,.,.,.,+,.,+,,,Scilla monophyllos Link,+,.,1,.,.,.
,,,,,,,,,,,,,,,,Tuberaria guttata (L.) Fourr. [sub],.,.,.,1,.,,,,,,,,,,,,,,,Halimium halimifolium (L.) Willk. in Willk. & Lange,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,1,1,+,.,+,,,Quercus suber L.,2,.,.,+,.,.
,,,,,,,,,,,,,,,,Silene portensis L.,.,.,.,1,.,,,,,,,,,,,,,,,Cistus psilosepalus Sweet,.,.,+,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,+,1,,,Hyacinthoides hispanica (Mill.) Rothm.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,Teucrium scorodonia L.,.,.,.,.,1,,,,,,,,,,,,,,,Arrhenatherum album (Vahl) W. D. Clayton,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,+,1,.,.,+,,,Paeonia broteri Boiss. & Reut. [sub],.,.,.,.,.,.
,,,,,,,,,,,,,,,,Allium pruinatum Link ex Spreng.,.,.,.,.,+,,,,,,,,,,,,,,,Halimium ocymoides (Lam.) Willk. in Willk. & Lange,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,+,.,.,.,.,.,.,.,.,.,,,Ruscus aculeatus L.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,Gastridium ventricosum (Gouan) Schinz & Thell.,.,.,.,.,1,,,,,,,,,,,,,,,Tuberaria lignosa (Sweet) Samp.,1,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,+,.,.,+,,,Phillyrea latifolia L.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,Erica umbellata Loefl. ex L.,.,.,.,.,2,,,,,,,,,,,,,,,Cistus monspeliensis L.,1,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,,,Rosa sempervirens L.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,Erica scoparia L.,.,.,.,.,2,,,,,,,,,,,,,,,Erica australis L.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,,,Carex distachya Desf.,.,.,.,.,.,.
