,,71,72,73,74,75,76,77,78,79,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,,,,1,,,,1,,,,1,2,3,4,5,6,7,,,,1,2,3,4,5
,Jasminum fruticans L.,.,.,.,.,.,.,.,.,.,,,Quercus lusitanica Lam.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,Thymus zygis Loefl. ex L. subsp. sylvestris (Hoffmanns. & Link) Cout.,.,.,+,+,.
,Arbutus unedo L.,.,.,.,.,.,.,.,.,.,,,Delphinium pentaginum,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,Dianthus cintranus Boiss. & Reut. subsp. barbatus R. Fern. & Franco,.,.,.,+,+
,Selaginella denticulata (L.) Spring,.,+,+,.,.,.,.,.,.,,,Lonicera etrusca G. Santi,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,,,,,,,,,,,,,,,,,,,,,Carlina corymbosa L. subsp. hispanica (Lam.) O. Bolòs & Vigo,.,.,.,+,+
,Teucrium fruticans L.,.,.,.,.,.,.,.,.,.,,,Carex distachya Desf.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,,,,,,,,,,,,,,,,,,,,,Genista triacanthos Brot.,2,.,.,.,.
,Anemone palmata L.,.,.,.,.,+,+,.,+,+,,,Brachypodium phoenicoides (L.) Roem. & Schult.,1,+,1,.,1,+,2,+,2,+,1,+,1,1,1,1,+,.,+,,,,,,,,,,,,,,,,,,,,,Erophaca baetica (L.) Boiss. subsp. baetica,+,.,.,.,.
,Osyris alba L.,.,.,.,.,+,.,.,.,.,,,Cistus salviifolius L. [sub],.,2,1,+,+,+,+,+,1,.,+,+,+,+,+,1,1,+,.,,,,,,,,,,,,,,,,,,,,,Asphodelus ramosus L.,+,.,.,.,.
,Phillyrea latifolia L. [sub],.,.,.,.,.,.,.,.,.,,,Salvia sclareoides Brot.,+,1,+,+,1,+,+,.,1,+,.,+,+,+,1,.,+,2,.,,,,,,,,,,,,,,,,,,,,,Geranium purpureum Vill.,+,.,.,.,.
,Coronilla valentina L. subsp. glauca (L.) Batt. in Batt. & Trab. [sub],.,+,.,.,1,1,.,.,.,,,Antirrhinum majus L. subsp. linkianum (Boiss. & Reut.) Rothm. [sub],.,+,+,1,1,+,1,.,+,.,+,2,+,+,+,+,+,+,.,,,,,,,,,,,,,,,,,,,,,Bellis sylvestris Cirillo,+,.,.,.,.
,Ceratonia siliqua L.,.,.,.,.,.,.,.,.,.,,,Silene longicilia (Brot.) Otth,+,1,1,1,+,+,1,.,+,.,.,+,+,.,+,.,+,1,+,,,,,,,,,,,,,,,,,,,,,Quercus suber L.,+,.,.,.,.
,Euphorbia characias L.,1,.,1,.,.,.,.,+,.,,,Calamintha nepeta (L.) Savi subsp. nepeta [sub],1,+,+,+,1,+,1,.,.,+,+,.,.,+,1,1,+,.,+,,,,,,,,,,,,,,,,,,,,,Phlomis lychnitis L.,.,.,+,.,.
,Quercus rotundifolia Lam.,.,.,.,.,.,.,.,.,.,,,Urginea fugax (Moris) Steinh. [sub],+,+,1,+,+,+,.,.,.,+,.,+,+,+,+,+,.,+,+,,,,,,,,,,,,,,,,,,,,,Campanula rapunculus L.,.,.,+,.,.
,Viburnum tinus L.,.,.,+,.,.,.,.,.,.,,,Rubus ulmifolius Schott,1,1,1,+,1,1,1,+,.,1,+,+,.,+,.,.,.,+,1,,,,,,,,,,,,,,,,,,,,,Hypericum perfoliatum L.,.,.,+,.,.
,Scilla monophyllos Link,.,.,.,+,.,.,.,+,.,,,Dactylis glomerata L. subsp. hispanica (Roth) Nyman [sub],1,1,+,+,+,.,+,.,.,+,+,+,.,.,+,.,+,+,+,,,,,,,,,,,,,,,,,,,,,Dittrichia viscosa (L.) Greuter subsp. viscosa,.,.,+,.,.
,Quercus suber L.,.,.,.,.,.,.,.,.,.,,,Cheirolophus sempervirens (L.) Pomel,1,1,.,2,1,+,+,2,.,2,2,2,.,.,1,.,1,.,.,,,,,,,,,,,,,,,,,,,,,Centaurium erythraea Raf. subsp. erythraea,.,.,+,.,.
,Hyacinthoides hispanica (Mill.) Rothm.,.,+,.,.,.,.,.,.,.,,,Origanum virens Hoffmanns. & Link,+,+,.,.,1,+,.,+,1,+,+,.,.,+,.,+,+,.,+,,,,,,,,,,,,,,,,,,,,,Arbutus unedo L.,.,.,+,.,.
,Paeonia broteri Boiss. & Reut. [sub],.,.,.,.,.,.,.,.,.,,,Bellis sylvestris Cirillo,+,.,.,+,+,+,.,.,.,+,.,.,.,.,+,+,+,+,+,,,,,,,,,,,,,,,,,,,,,Cephalanthera longifolia (L.) Fritsch,.,.,+,.,.
,Ruscus aculeatus L.,.,+,+,.,.,.,+,.,.,,,Geranium purpureum Vill.,+,.,+,+,+,+,+,.,.,+,.,.,.,.,.,.,.,+,+,,,,,,,,,,,,,,,,,,,,,Anagallis monelli L. [sub],.,.,+,.,.
,Phillyrea latifolia L.,.,.,.,.,.,.,.,.,.,,,Anthyllis vulneraria L. subsp. maura (G. Beck) Maire [sub],+,.,.,+,.,+,.,.,.,.,+,+,.,+,+,.,.,.,+,,,,,,,,,,,,,,,,,,,,,Serratula baetica Boiss. ex DC. subsp. lusitanica Cantó,.,.,+,.,.
,Rosa sempervirens L.,.,.,1,.,.,.,.,.,.,,,Cistus crispus L.,.,.,1,+,.,.,.,.,+,.,+,.,.,.,+,+,.,.,1,,,,,,,,,,,,,,,,,,,,,Blackstonia perfoliata (L.) Huds. subsp. perfoliata,.,.,+,.,.
,Carex distachya Desf.,.,+,.,+,.,.,+,+,.,,,Asphodelus ramosus L.,.,1,+,.,.,.,.,.,.,.,.,.,+,.,.,+,.,1,+,,,,,,,,,,,,,,,,,,,,,Celtica gigantea (Link) J.M. Vázquez & Barkworth [sub],.,.,.,+,.
,Lavandula pedunculata Cav. [sub],.,.,.,.,.,.,.,.,.,,,Aristolochia paucinervis Pomel,.,+,1,.,+,.,+,.,.,.,.,.,.,.,+,+,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cistus ladanifer L. [sub],.,.,.,.,.,.,.,.,.,,,Ulex jussiaei Webb,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,+,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,Genista hirsuta Vahl,.,.,.,.,.,.,.,.,.,,,Ulex densus Welw. ex Webb,.,.,.,.,.,.,.,.,.,.,1,1,1,2,2,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,
,Genista polyanthos R. Roem. ex Willk.,.,.,.,.,.,.,.,.,.,,,Cistus monspeliensis L.,.,.,.,+,.,.,.,.,.,.,.,+,.,.,.,1,1,+,.,,,,,,,,,,,,,,,,,,,,,,,,,,
,Crataegus monogyna Jacq. [sub],.,.,.,.,.,.,.,.,.,,,Carex halleriana Asso [sub],.,.,+,.,+,.,.,.,.,.,.,+,+,1,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cistus albidus L.,.,.,.,.,1,+,.,.,.,,,Tamus communis L.,+,.,.,.,.,.,1,.,.,+,.,.,.,.,.,+,.,+,.,,,,,,,,,,,,,,,,,,,,,,,,,,
,Teucrium lusitanicum Schreb.,.,.,.,.,.,.,.,.,.,,,Cytisus grandiflorus (Brot.) DC.,.,.,.,.,.,.,+,2,.,.,.,.,.,.,.,2,.,.,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,Euphorbia nicaeensis All. [sub],.,.,.,.,.,.,.,.,.,,,Prunus insititioides,.,.,.,.,.,1,+,.,.,.,.,.,1,.,.,+,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ulex airensis Espírito Santo & al.,.,.,.,.,.,.,.,.,.,,,Erica scoparia L.,.,.,.,.,.,.,.,+,2,.,.,.,.,.,.,+,.,.,+,,,,,,,,,,,,,,,,,,,,,,,,,,
,Teucrium capitatum L.,.,.,.,.,.,.,.,.,.,,,Ruta chalepensis L.,+,.,.,1,.,.,+,.,.,.,.,.,.,.,+,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,
