,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10
,Aristolochia pistolochia L.,.,.,+,.,1,.,.,.,.,.,.,.,.,.,,,,Clinopodium vulgare L.,+,.,.,.,.,.,.,,,,,,,,Genista triacanthos Brot.,.,+,.,+,.,.,.,.,.,1
,Hypericum perforatum L.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,,,,Arenaria montana L. subsp. intricata (Ser.) Pau [sub],1,.,.,.,.,.,.,,,,,,,,Genista hirsuta Vahl,1,+,.,.,.,+,+,+,+,.
,Campanula rapunculus L.,.,.,.,+,.,.,.,+,.,.,.,.,.,.,,,,Sedum forsterianum Sm. in Sowerby [sub],+,.,.,.,.,.,.,,,,,,,,Lavandula stoechas L.,.,1,.,.,.,.,.,+,.,.
,Pimpinella villosa Schousb.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,,,,Ononis spinosa L. subsp. maritima (Dumort.) P. Fourn. [sub],+,.,.,.,.,.,.,,,,,,,,Cistus populifolius L.,+,.,.,1,.,.,+,1,2,1
,Hypericum perforatum L.,.,.,.,.,+,.,.,.,.,.,.,.,.,+,,,,Thapsia villosa L. [sub],+,.,.,.,.,.,.,,,,,,,,Ulex australis Clemente subsp. australis [sub],.,.,.,.,1,.,.,.,.,.
,Aristolochia paucinervis Pomel,.,.,.,.,.,+,.,.,.,.,.,.,.,.,,,,Hedera helix L.,.,2,.,.,.,.,.,,,,,,,,Cistus crispus L.,.,.,.,+,.,.,.,+,+,.
,Lavandula pedunculata Cav. [sub],.,.,.,.,.,1,.,.,.,.,.,.,.,.,,,,Calamintha nepeta (L.) Savi subsp. sylvatica (Bromf.) R. Morales [sub],.,+,.,.,.,.,.,,,,,,,,Briza maxima L.,.,+,+,.,.,+,.,+,.,.
,Pterospartum tridentatum (L.) Willk. in Willk. & Lange subsp. lasianthum (Spach) Talavera & Gibbs [sub],.,.,.,.,.,.,.,2,.,.,.,.,.,.,,,,Origanum virens Hoffmanns. & Link,.,+,.,.,.,.,.,,,,,,,,Agrostis castellana Boiss. & Reut.,.,+,.,+,1,.,.,.,.,.
,Vincetoxicum nigrum (L.) Moench,.,.,.,.,.,.,.,.,+,.,.,.,.,.,,,,Genista triacanthos Brot.,.,+,.,.,.,.,.,,,,,,,,Cynosurus effusus Schrad. [sub],+,+,+,.,.,.,.,+,.,.
,Pteridium aquilinum (L.) Kuhn in Kerst.,.,.,.,.,.,.,.,.,1,.,1,.,.,.,,,,Halimium lasianthum (Lam.) Spach,.,+,.,.,.,.,.,,,,,,,,Arbutus unedo L.,1,.,.,.,+,.,+,.,2,3
,Erica australis L.,.,.,.,.,.,.,.,.,1,.,.,1,.,.,,,,Lonicera periclymenum L. subsp. hispanica (Boiss. & Reut.) Nyman [sub],.,+,.,.,.,.,.,,,,,,,,Asparagus acutifolius L.,+,1,1,+,.,+,+,.,+,1
,Crataegus monogyna Jacq.,.,.,.,.,.,.,.,.,1,+,.,.,.,+,,,,Pyrus bourgaeana Decne.,.,.,.,+,.,.,.,,,,,,,,Viola alba Besser [sub],.,+,+,.,.,.,.,+,.,+
,Rubus ulmifolius Schott,.,.,.,.,.,.,.,.,1,1,.,+,.,.,,,,Ruscus aculeatus L.,.,.,1,.,.,.,.,,,,,,,,Bupleurum fruticosum L.,.,.,.,.,+,.,.,+,1,.
,Lonicera periclymenum L. subsp. hispanica (Boiss. & Reut.) Nyman [sub],.,.,.,.,.,.,.,.,1,.,.,.,1,.,,,,Rosmarinus officinalis L.,.,.,.,+,.,.,.,,,,,,,,Quercus suber L.,2,2,.,.,.,1,.,2,3,2
,Rosa canina L.,.,.,.,.,.,.,.,.,+,.,.,+,.,.,,,,Vitis vinifera L. subsp. sylvestris (C.C. Gmel.) Hegi [sub],.,.,.,.,.,2,.,,,,,,,,Quercus rotundifolia Lam. [sub],.,+,.,1,+,.,1,+,.,.
,Epipactis helleborine (L.) Crantz,.,.,.,.,.,.,.,.,.,.,1,.,+,.,,,,Alnus glutinosa (L.) Gaertn.,.,.,.,.,.,+,.,,,,,,,,Juniperus oxycedrus L.,.,.,.,.,1,.,.,.,.,.
,Cephalanthera longifolia (L.) Fritsch,.,.,.,.,.,.,.,.,.,.,+,.,.,+,,,,Cistus ladanifer L.,.,.,.,.,.,+,.,,,,,,,,Pyrus communis L.,.,1,.,.,.,1,.,+,2,.
,Vicia disperma DC.,.,.,.,.,.,.,.,.,.,.,+,.,+,.,,,,Bryonia dioica Jacq. [sub],.,.,.,.,.,+,.,,,,,,,,Phillyrea angustifolia L.,1,2,.,.,.,.,1,1,.,.
,Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl subsp. bulbosum (Willd.) Schübl. & Martens [sub],.,.,.,.,.,.,.,.,.,.,.,+,.,.,,,,Hypericum perforatum L.,.,.,.,.,.,+,.,,,,,,,,Lonicera etrusca G. Santi,.,.,.,.,.,.,.,1,.,.
,Stachys officinalis (L.) Trevis.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,,,,Rosa pouzinii Tratt.,.,.,.,.,.,2,.,,,,,,,,Viburnum tinus L.,1,.,.,.,.,.,.,.,+,+
,Cistus psilosepalus Sweet,.,.,.,.,.,.,.,.,.,.,.,.,.,1,,,,Rubus caesius L.,.,.,.,.,.,1,.,,,,,,,,Rubia peregrina L.,+,+,+,+,+,+,+,+,+,+
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jasminum fruticans L.,.,+,.,.,1,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arisarum vulgare Targ.-Tozz.,+,.,.,+,.,+,.,+,+,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bellis sylvestris Cirillo,+,+,1,+,1,.,+,+,.,+
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geranium purpureum Vill. [sub],+,.,+,.,.,+,.,.,+,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moehringia pentandra J. Gay,+,.,.,+,.,+,.,+,+,+
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vincetoxicum nigrum (L.) Moench,.,+,.,+,.,1,+,.,+,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lathyrus latifolius L.,.,+,1,.,+,+,.,+,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quercus coccifera L.,2,2,2,.,.,1,.,1,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osyris alba L.,.,1,.,1,.,1,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asplenium onopteris L. [sub],.,.,.,+,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crataegus monogyna Jacq.,+,.,1,.,1,.,.,+,1,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arum italicum Mill.,+,.,.,1,+,.,+,.,.,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aristolochia paucinervis Pomel [sub],+,+,+,.,.,+,+,+,+,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tamus communis L.,+,1,.,1,.,1,+,.,+,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bryonia dioica Jacq.,+,.,1,+,+,+,.,.,1,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silene latifolia Poir. [sub],+,+,.,1,1,.,+,.,.,+
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ranunculus ficaria L. [sub],.,+,.,.,.,.,.,+,.,+
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bromus sterilis L.,+,.,.,+,.,+,.,.,.,+
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lapsana communis L.,+,.,+,.,+,+,+,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geranium lucidum L.,.,+,.,+,.,.,+,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cardamine hirsuta L.,+,+,+,+,.,1,+,+,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rosa sp.,.,+,.,.,.,.,.,+,1,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rubus ulmifolius Schott,.,2,1,2,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cistus salviifolius L.,+,1,+,.,.,.,+,+,+,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gladiolus reuteri Boiss.,.,.,+,1,.,.,1,.,.,+
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Allium roseum L.,.,.,.,.,1,+,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cynoglossum creticum Mill.,+,+,.,.,.,.,.,.,+,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Senecio lividus L.,.,.,.,+,.,+,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anemone palmata L.,.,+,+,.,+,.,.,.,+,+
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Piptatherum miliaceum (L.) Coss. [sub],+,+,+,.,.,+,.,.,+,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silene psammitis Link ex Spreng.,.,.,+,+,.,.,.,+,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rhagadiolus stellatus (L.) Gaertn.,.,+,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Helichrysum italicum (Roth) G. Don in Loudon subsp. serotinum (Boiss.) P. Fourn. [sub],.,1,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vicia angustifolia L.,+,+,+,.,+,+,+,+,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coronilla repanda (Poir.) Guss. subsp. dura (Cav.) Cout. [sub],.,.,.,.,.,+,.,+,.,+
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aira caryophyllea L.,+,.,+,+,+,.,.,.,+,+
