,,1,2,3,4,5,6,,,,1,,,,1,2,3,4,5,6,7,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Lavandula stoechas L. subsp. luisieri (Rozeira) Rozeira [sub],1,.,+
,,,,,,,,,,,,,,,,,,,,,,,,Smyrnium olusatrum L.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Aristolochia paucinervis Pomel,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Dactylis glomerata L. subsp. hispanica (Roth) Nyman [sub],.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Bryonia dioica Jacq.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Asphodelus ramosus L.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,m,Cladonia mediterranica,.,+,.
,,,,,,,,,,,,,,,,,,,,,,,,Sedum forsterianum Sm. in Sowerby [sub],.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Tuberaria guttata (L.) Fourr.,+,+,+
,,,,,,,,,,,,,,,,,,,,,,,,Agrostis curtisii Kerguélen,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Sedum sediforme (Jacq.) Pau,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Rumex scutatus L. subsp. induratus (Boiss. & Reut.) Nyman [sub],.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Rubus ulmifolius Schott,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Pulicaria odora (L.) Rchb.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Phlomis lychnitis L.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Tuberaria lignosa (Sweet) Samp.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Erophaca baetica (L.) Boiss.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Cytinus hypocistis (L.) L. subsp. macranthus Wettst. [sub],.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Ruta chalepensis L.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,¿ Hyacinthoides non-scripta (L.) Chouard ex Rothm. [sub],.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Silene latifolia Poir.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Armeria pungens (Link) Hoffmanns. & Link,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Asphodelus aestivus Brot.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,m,Cladonia potentosa,1,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Stauracanthus genistoides (Brot.) Samp.,.,1,+
,,,,,,,,,,,,,,,,,,,,,,,,Bellis sylvestris Cirillo,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Mercurialis annua L. subsp. ambigua (L. fil.) Arcang. [sub],.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Centranthus calcitrapae (L.) Dufr.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Lathyrus clymenum L.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Ammophilla australis,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Convolvulus althaeoides L.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Dipcadi serotinum (L.) Medik.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Margotia gummifera (Desf.) Lange in Willk. & Lange [sub],.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Rhagadiolus edulis Gaertn.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Simethis mattiazzii (Vand.) G. López & Ch.E. Jarvis,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Helichrysum italicum (Roth) G. Don in Loudon subsp. serotinum (Boiss.) P. Fourn. [sub],.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Hyparrhenia hirta (L.) Stapf in Prain subsp. pubescens (Vis.) Paunero [sub],.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Anthyllis vulneraria L. subsp. maura (G. Beck) Maire [sub],.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Iberis ciliata All. subsp. welwitschii (Boiss.) Moreno [sub],.,.,+
,,,,,,,,,,,,,,,,,,,,,,,m,Pycnocomom rutifolium,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Fraxinus angustifolia Vahl,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Asplenium billotii F.W. Schultz,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
