Taxonomia atual,1,2,3
Thymus mastichina L.,,,
Thymus praecox Opiz,,,
Thymus praecox subsp. britannicus (Ronniger) Holub,Thymus praecox Opiz subsp. britannicus (Ronniger) J. Holub,,
Thymus villosus L.,,,
Thymus zygis L.,Thymus zygis Loefl. ex L.,Thymus zygis Loefl. ex L. subsp. zygis,
Thymus zygis subsp. gracilis (Boiss.) R.Morales,Thymus zygis Loefl. ex L. subsp. gracilis (Boiss.) R. Morales,,
Thymus zygis subsp. sylvestris (Hoffmanns. & Link) Cout.,Thymus zygis Loefl. ex L. subsp. sylvestris (Hoffmanns. & Link) Cout.,,
Thymus zygis subsp. zygis,Thymus zygis Loefl. ex L. subsp. zygis,,
Tilia platyphyllos Scop.,,,
Tolpis umbellata Bertol.,,,
Torilis africana Spreng.,Torilis arvensis (Huds.) Link subsp. purpurea (Ten.) Hayek,,
Torilis arvensis (Huds.) Link,,,
Torilis arvensis subsp. neglecta (Spreng.) Thell.,Torilis arvensis (Huds.) Link subsp. neglecta (Schult.) Thell. in Hegi,,
Torilis leptophylla (L.) Rchb.fil.,Torilis leptophylla (L.) Rchb. fil. in Rchb.,,
Torilis nodosa (L.) Gaertn.,Tordilis nodosa,,
Torminalis glaberrima (Gand.) Sennikov & Kurtto,Sorbus torminalis (L.) Crantz,,
Tradescantia fluminensis Vell.,,,
Trifolium angustifolium L.,,,
Trifolium arvense L.,,,
Trifolium campestre Schreb.,Trifolium campestre Schreb. in Sturm,,
Trifolium dubium Sibth.,,,
Trifolium glomeratum L.,,,
Trifolium lappaceum L.,,,
Trifolium ligusticum Balb. ex Loisel.,,,
Trifolium medium L.,,,
Trifolium ochroleucon Huds.,,,
Trifolium pratense L.,,,
"Trifolium pratense subsp. pratense L., 1753",Trifolium pratense L. subsp. pratense,,
Trifolium repens L.,,,
Trifolium resupinatum L.,,,
Trifolium rubens L.,,,
Trifolium scabrum L.,,,
Trifolium stellatum L.,,,
Trifolium subterraneum L.,,,
Trisetum flavescens (L.) P. Beauv.,Trisetum flaveseens,,
Trommsdorffia maculata subsp. maculata,Hypochaeris maculata L.,,
Tuberaria globulariifolia (Lam.) Willk.,"Xolantha globulariifolia (Lam.) Gallego, Muñoz Garm. & C. Navarro",,
Tuberaria guttata (L.) Fourr.,,,
Tuberaria lignosa (Sweet) Samp.,,,
Tulipa sylvestris subsp. australis (Link) Pamp.,Tulipa sylvestris L. subsp. australis (Link) Pamp.,,
Ulex airensis Espírito Santo & al.,,,
Ulex argenteus Welw. ex Webb,,,
Ulex argenteus subsp. argenteus,Ulex argenteus Welw. ex Webb subsp. argenteus,,
Ulex australis Clemente,,,
Ulex australis subsp. australis,Ulex australis Clemente subsp. australis,,
"Ulex australis subsp. welwitschianus (Planch.) Esp.Santo, Cubas, Lousã, C.Pardo & J.C.Costa",Ulex australis Clemente subsp. welwitschianus (Planch.) Espírito Santo & al.,,
Ulex baeticus Boiss.,,,
Ulex baeticus subsp. scaber (Kunze) Cubas,Ulex baeticus Boiss. subsp. scaber (Kunze) Cubas,,
Ulex borgiae Rivas Mart.,,,
Ulex densus Welw. ex Webb,,,
Ulex eriocladus C. Vicioso,,,
Ulex europaeus L.,Ulex europeaus,Ulex europaeus L. subsp. europaeus,
Ulex europaeus subsp. latebracteatus (Mariz) Rothm.,Ulex europaeus L. subsp. latebracteatus (Mariz) Rothm.,,
Ulex gallii Planch.,,,
Ulex jussiaei Webb,,,
Ulex minor Roth,,,
Ulex parviflorus Pourr.,Ulex parviflorus Pourr. subsp. parviflorus,,
Ulmus glabra Huds.,,,
Ulmus minor Mill.,,,
Umbilicus heylandianus Webb & Berth.,,,
Umbilicus rupestris (Salisb.) Dandy in Ridd. & al.,,,
Urospermum picroides (L.) Scop. ex F.W. Schmidt,,,
Urtica dioica L.,,,
Urtica membranacea Poir.,Urtica membranacea Poir. in Lam.,,
Vaccinium myrtillus L.,,,
Valeriana pyrenaica L.,,,
Valerianella locusta (L.) Laterr.,Valerianella locusta (L.) Laterr. subsp. locusta,,
Valerianella locusta subsp. lusitanica (Pau ex Font Quer) Laínz,Valerianella locusta (L.) Laterr. subsp. lusitanica (Pau ex Font Quer) M. Laínz,,
Verbascum dentifolium Delile,,,
Verbascum thapsus L.,,,
Veronica arvensis L.,,,
Veronica chamaedrys L.,Veronica chamaedrys L. subsp. chamaedrys,,
Veronica hederifolia L.,,,
Veronica montana L.,,,
Veronica officinalis L.,,,
Veronica verna L.,,,
Viburnum lantana L.,,,
Viburnum opulus L.,,,
Viburnum tinus L.,,,
Vicia benghalensis L.,,,
Vicia cracca L.,,,
Vicia disperma DC.,,,
Vicia hirsuta (L.) Gray,,,
Vicia incana Gouan,Vicia cracca L. subsp. incana (Gouan) Rouy,,
Vicia lutea L.,,,
Vicia orobus DC.,Vicia orobus DC. in Lam. & DC.,,
Vicia parviflora Cav.,,,
Vicia pubescens (DC.) Link,,,
Vicia sativa L.,Vicia sativa L. subsp. sativa,,
Vicia sativa subsp. nigra Ehrh.,Vicia angustifolia L.,,
Vicia sepium L.,,,
Vicia tenuifolia Roth,,,
Vicia tetrasperma (L.) Schreb.,,,
Vinca difformis Pourr.,,,
Vincetoxicum nigrum (L.) Moench,,,
Viola alba Besser,,,
Viola arvensis Murray,,,
Viola canina L.,,,
"Viola canina subsp. canina L., 1753",Viola sylvestris Lam.,Viola gr. sylvestris Lam.,Viola sylvestris Lam. subsp. sylvestris
Viola hirta L.,,,
Viola kitaibeliana Schult.,Viola kitaibeliana Schult. in Roem. & Schult.,,
Viola odorata L.,,,
Viola riviniana Rchb.,Viola sylvestris Lam. subsp. riviniana (Rchb.) Tourlet,,
"Viola sepincola subsp. glabrescens W.Becker, 1910",Viola sepinicola subsp. glabrescens,,
Viola sp.,,,
Viola tricolor L.,,,
Viscum album L.,,,
Vitis gmelinii Buttler,Vitis vinifera L. subsp. sylvestris (C.C. Gmel.) Hegi,,
Vitis vinifera L.,,,
"Vulpia ciliata subsp. ciliata Dumort., 1824",Vulpia ciliata Dumort. subsp. ciliata,,
"Weissia brachycarpa Juratzka, 1882",Hymenostomum microstomum,,
Woodwardia radicans (L.) Sm.,,,
Ziziphus lotus (L.) Lam.,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
