Taxonomia atual,1,2,3
Cytisus striatus (Hill) Rothm.,,,
Daboecia cantabrica (Huds.) K. Koch,,,
Dactylis glomerata L.,Dactylis glomerata L. subsp. glomerata,,
Dactylis glomerata subsp. hispanica (Roth) Nyman,,Dactylis glomerata L. subsp. hispanica (Roth) Nyman,
Dactylis glomerata subsp. lusitanica Stebbins & D.Zohary,,Dactylis glomerata L. subsp. lusitanica Stebbins & Zohary,
Dactylorhiza maculata (L.) Soó,,,
Dactylorhiza romana subsp. guimaraesii (E.G.Camus) H.A.Pedersen,Dactylorhiza sulphurea (Link) Franco,,
Danthonia decumbens (L.) DC.,Danthonia decumbens (L.) DC. in Lam. & DC.,,
"Danthonia decumbens subsp. decumbens (L.) DC., 1805",,Danthonia decumbens (L.) DC. in Lam. & DC. subsp. decumbens,
Daphne gnidium L.,,,
Daphne laureola L.,,,
Daucus carota L.,Daucus carota L. subsp. carota,,
Daucus crinitus Desf.,,,
Daucus muricatus (L.) L.,,,
Davallia canariensis (L.) Sm.,,,
"Delphinium fissum subsp. sordidum (Cuatrec.) Amich, E.Rico & J.Sánchez",,"Delphinium fissum Waldst. & Kit. subsp. sordidum (Cuatrec.) Amich, E. Rico & J. Sánchez",
Delphinium halteratum subsp. verdunense (Balb.) Graebn. & P.Graebn.,,Delphinium halteratum Sm. subsp. verdunense (Balb.) Graebn. & P. Graebn. in Aschers. & Graebn.,
Delphinium pentagynum Lam.,Delphinium pentaginum,,
Dianthus armeria L.,,,
Dianthus broteri Boiss. & Reut.,,,
Dianthus carthusianorum L.,,,
Dianthus cintranus Boiss. & Reut.,,,
Dianthus cintranus subsp. barbatus R.Fern. & Franco,,Dianthus cintranus Boiss. & Reut. subsp. barbatus R. Fern. & Franco,
Dianthus lusitanus Brot.,,,
"Dianthus pungens subsp. brachyanthus (Boiss.) Bernal, Fern.Casas, G.López, M.Laínz & Muñoz Garm.",,"Dianthus pungens L. subsp. brachyanthus (Boiss.) Bernal, Fern. Casas, G. López, M. Laínz & Muñoz Garm.",
"Dicranum scoparium Hedwig, 1801",Dicranum scoparium,,
Dictamnus albus L.,,,
Digitalis mariana Boiss.,,,
Digitalis purpurea L.,,,
Digitalis thapsi L.,,,
Digitalis × coutinhoi Samp.,Digitalis Xpurpurea_subsp._purpurea_X_D._thapsi,Digitalis purpurea var. carpetana (Rivas Mateos) Rivas Mateos,
Dioscorea communis (L.) Caddick & Wilkin,Tamus cammunis,,
Dioscorea communis (L.) Caddick & Wilkin,Tamus communis L.,,
Dipcadi serotinum (L.) Medik.,Dipcadi serotinum (L.) Medik. subsp. serotinum,,
Dittrichia viscosa (L.) Greuter,Dittrichia viscosa (L.) Greuter subsp. viscosa,,
Dittrichia viscosa subsp. revoluta (Hoffmanns. & Link) P.Silva & Tutin,Dittichia viscosa subsp. revoluta,,
Doronicum plantagineum L.,,,
Doronicum sp.,,,
Dorycnopsis gerardi (L.) Boiss.,Dorycnopsis gerardii,,
Drabella muralis (L.) Fourr.,Draba muralis L.,,
Drimia fugax (Moris) Stearn,Urginea fugax (Moris) Steinh.,,
Drimia maritima (L.) Stearn,Urginea maritima (L.) Baker,,
Drosophyllum lusitanicum (L.) Link,,,
Drymocallis rupestris (L.) Soják,Potentilla rupestris L.,,
Dryopteris affinis (Lowe) Fraser-Jenk.,Dryopteris affinis (Lowe) Fraser-Jenk. subsp. affinis,,
Dryopteris borreri (Newman) Oberh. & Tavel,Dryopteris affinis (Lowe) Fraser-Jenk. subsp. borreri (Newman) Fraser-Jenk.,,
Dryopteris dilatata (Hoffm.) A. Gray,,,
Dryopteris filix-mas (L.) Schott,,,
Dryopteris sp.,,,
"Echinospartum ibericum Rivas Mart., Sánchez Mata & Sancho",,,
Echium albicans Lag. & Rodr.,,,
